created_at,final_price,id,is_salable,name,price,qty,sku,status,visibility,website_ids,rating,reviews_count,views,sold,Discount,Percentages
12/06/2017 16:14,300,601,TRUE,"Tea Combo(Arogya,Yuvan,Taahira) -90gm",300,0,"Tea Combo(Arogya,Yuvan,Taahira) -90gm",1,4,[1],60,1,20,1,0,5
12/06/2017 16:21,258,602,TRUE,Cardospa -60 capsules,258,0,Cardospa -60 capsules,1,4,[1],100,1,7,0,0,0
12/06/2017 16:23,1000,603,TRUE,The Ayurvedic Cook Book,1000,0,The Ayurvedic Cook Book,1,4,[1],100,1,16,1,0,6.25
12/06/2017 16:26,108,604,TRUE,Kairali Spazyme Capsule - A herbal product for gastric upsets and improving bowel function (60 capsules/ Box),108,0,604,1,4,[1],80,1,8,0,0,0
12/06/2017 16:47,110,605,TRUE,Kairali Spazyme Syrup - A herbal product for gastric upsets and improving bowel function (200 ml),110,0,605,1,4,[1],60,1,8,0,0,0
12/06/2017 16:53,180,606,TRUE,Kairali Durance (10 capsules/ Box),180,0,Kairali Durance (10 capsules/ Box),1,4,[1],100,1,10,1,0,10
12/06/2017 17:05,330,607,TRUE,Kairali Spa Col - A herbal product for reducing Cholesterol and correcting Metabolism (60 capsules/ Box),330,0,607,1,4,[1],60,1,8,0,0,0
12/06/2017 17:07,108,608,TRUE,Kairali Spaliv Capsule - A herbal product for all type of Liver disorders (60 capsules/ Box),108,0,608,1,4,[1],60,1,11,0,0,0
12/06/2017 17:12,110,609,TRUE,Kairali Spaliv Tonic - A herbal product for all type of Liver disorders (200 ml),110,0,609,1,4,[1],100,1,11,1,0,9.090909091
12/06/2017 17:15,35,610,TRUE,Kairali Spa Rub - A herbal product for all types of Muscular aches and pains (10 grams),35,0,610,1,4,[1],60,1,11,1,0,9.090909091
12/06/2017 17:17,270,611,TRUE,Kairali Lipidex - A herbal product for correcting Obesity and Overweight (60 Capsules/ Box),270,0,611,1,4,[1],80,1,21,0,0,0
12/06/2017 17:21,108,612,TRUE,Kairali Mulberine Capsule - A herbal product for good health (60 capsules/ Box),108,0,612,1,4,[1],60,1,9,0,0,0
12/06/2017 17:23,105,613,TRUE,Kairali Mulberine Tonic - A herbal product for good health (200 ml),105,0,613,1,4,[1],60,1,13,0,0,0
12/06/2017 17:34,270,614,TRUE,Kairali Rheuma Spa - A herbal product for reducing Rheumatism and Arthritis related issues (60 capsules/ Box),270,0,614,1,4,[1],100,1,14,0,0,0
12/06/2017 18:13,280,615,TRUE,Kairali Kairtis Oil 55ml,280,0,Kairali Kairtis Oil 55ml,1,4,[1],60,1,17,0,0,0
12/06/2017 18:14,350,616,TRUE,Kairali Kairtis - Ayurvedic oil for Rheumatism & Arthritis (55 ml),350,0,616,1,4,[1],80,1,18,0,0,0
12/06/2017 18:16,999,617,TRUE,Kairali Massage Book,999,0,Kairali Massage Book,1,4,[1],100,1,19,1,0,5.263157895
12/06/2017 18:20,300,618,TRUE,Kairali Kairheal - (200 ml),300,0,Kairali Kairheal - (200 ml),1,4,[1],80,1,15,0,0,0
12/06/2017 18:25,360,619,TRUE,Kairali Kairoil - Ayurvedic hair oil (200 ml),360,0,Kairali Kairoil - Ayurvedic hair oil (200 ml),1,4,[1],100,1,15,0,0,0
12/06/2017 18:30,450,620,TRUE,Kairali Kairbossom - Ayurvedic breast massage oil for enhancing beauty (200 ml),450,0,620,1,4,[1],100,1,17,0,0,0
12/06/2017 19:35,700,621,TRUE,Kairali Kaircin -  (10 ml),700,0,Kairali Kaircin -  (10 ml),1,4,[1],60,1,20,0,0,0
12/06/2017 19:37,1225,622,TRUE,Kairali Kaircin - (25 ml),1225,0,Kairali Kaircin - (25 ml),1,4,[1],80,1,26,0,0,0
